fr_sad,fr_spr,fr_her,fr_oth,Year,Month,Day,pred_weight,pred_length,saduria,sprat,herring,lat,lon,ices_rect,X,Y,depth
0,0,0,0.007692307692307692,1969,1,8,15.6,13,0,0,0,57.4666,21.1,43H1,865.6198921103444,6385.760880391532,67.94999694824219
0,0,0,0.030973451327433635,1969,1,19,2.26,8,0,0,0,57.2,21.05,43H1,865.2695364529684,6355.883535885655,25.899999618530273
0,0,0,0.03529411764705882,1969,1,19,1.7,8,0,0,0,57.2,21.05,43H1,865.2695364529684,6355.883535885655,25.899999618530273
0,0,0,0.05769230769230769,1969,1,19,1.04,6,0,0,0,57.2,21.05,43H1,865.2695364529684,6355.883535885655,25.899999618530273
0,0,0,0.015625,1969,1,19,1.92,6,0,0,0,57.2,21.05,43H1,865.2695364529684,6355.883535885655,25.899999618530273
0,0,0,0.022222222222222223,1969,1,19,1.8,6,0,0,0,57.2,21.05,43H1,865.2695364529684,6355.883535885655,25.899999618530273
0,0,0,0.006666666666666666,1969,1,24,22.5,15,0,0,0,57.5,21.1,44H1,865.2856250809238,6389.470162067574,65.44999694824219
0,0,0,0.016033755274261603,1969,1,24,23.7,15,0,0,0,57.5,21.1,44H1,865.2856250809238,6389.470162067574,65.44999694824219
0,0,0,0.01111111111111111,1969,3,15,1.35,6,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.01970260223048327,1969,3,15,2.69,7,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.005555555555555556,1969,3,15,1.8,6,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.011904761904761906,1969,3,15,1.68,6,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.01640378548895899,1969,3,15,3.17,7,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.0128,1969,3,15,2.5,7,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.014634146341463415,1969,3,15,0.82,5,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.03409090909090909,1969,3,15,1.32,6,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.012195121951219513,1969,3,15,0.82,5,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.010599078341013824,1969,3,15,2.17,7,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.007427055702917772,1969,3,15,3.77,7,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.014130434782608697,1969,3,15,4.6,7,0,0,0,56.6,20.6333,42H0,845.6541141337024,6287.0656264194085,40.650001525878906
0,0,0,0.007083333333333334,1969,3,20,24,15,0,0,0,55.9333,18.75,40G8,734.2196555488622,6205.009229798443,114.5999984741211
0,0,0,0.013043478260869565,1969,3,20,23,15,0,0,0,55.9333,18.75,40G8,734.2196555488622,6205.009229798443,114.5999984741211
0,0,0,0.0038461538461538464,1969,3,20,26,14,0,0,0,55.9333,18.75,40G8,734.2196555488622,6205.009229798443,114.5999984741211
0,0,0,0.006422018348623854,1969,3,20,10.9,11,0,0,0,55.9333,18.75,40G8,734.2196555488622,6205.009229798443,114.5999984741211
0,0,0,0.012871287128712872,1969,3,20,10.1,11,0,0,0,55.9333,18.75,40G8,734.2196555488622,6205.009229798443,114.5999984741211
0,0,0,0.018779342723004695,1969,3,20,10.65,11,0,0,0,55.9333,18.75,40G8,734.2196555488622,6205.009229798443,114.5999984741211
0,0,0,0.007954545454545455,1969,3,20,8.8,11,0,0,0,55.9333,18.75,40G8,734.2196555488622,6205.009229798443,114.5999984741211
0,0,0,0.006048387096774193,1969,3,20,24.8,15,0,0,0,55.6833,18.55,40G8,723.1608517193516,6176.545684536523,98.8499984741211
0,0,0,0.009242144177449167,1969,3,20,16.23,13,0,0,0,55.6833,18.55,40G8,723.1608517193516,6176.545684536523,98.8499984741211
0,0,0,0.003448275862068966,1969,3,20,14.5,12,0,0,0,55.6833,18.55,40G8,723.1608517193516,6176.545684536523,98.8499984741211
0,0,0,0.002097902097902098,1969,3,20,14.3,12,0,0,0,55.6833,18.55,40G8,723.1608517193516,6176.545684536523,98.8499984741211
0,0,0,4.347826086956522e-4,1969,3,21,23,15,0,0,0,55.25,17.4666,39G7,656.7852671808391,6125.385369922413,90
0,0,0,6.172839506172839e-4,1969,3,21,16.2,13,0,0,0,55.25,17.4666,39G7,656.7852671808391,6125.385369922413,90
0,0,0,4.7846889952153117e-4,1969,3,21,20.9,14,0,0,0,55.25,17.4666,39G7,656.7852671808391,6125.385369922413,90
0,0,0,0.007936507936507936,1969,3,21,18.9,14,0,0,0,55.25,17.4666,39G7,656.7852671808391,6125.385369922413,90
0,0,0,0.01818181818181818,1969,3,21,16.5,13,0,0,0,55.25,17.4666,39G7,656.7852671808391,6125.385369922413,90
0,0,0,6.097560975609757e-4,1969,3,21,16.4,13,0,0,0,55.25,17.4666,39G7,656.7852671808391,6125.385369922413,90
0,0,0,0.0011111111111111111,1969,3,21,18,13,0,0,0,55.25,17.4666,39G7,656.7852671808391,6125.385369922413,90
0,0,0,0.00641025641025641,1969,3,21,23.4,15,0,0,0,55.25,17.4666,39G7,656.7852671808391,6125.385369922413,90
